// Sect Bonus Information - SECT.DAT
//
// Game Sects:
//   Ort = Orthodox
//   SAe = Sanctuary Aeon (Amaltheans)
//   Esk = Eskatonic
//   Inc = Incarnates
//   Ave = Avestites
//   Bro - Brother Battle
//   Men - Mendicant Monks (Hesychasts)
//   Sym = Symbiots, all Symbiot units are this sect
//   Vau = Vau, all Vau units are this sect
//
// This file is divided into Sect Galaxy, Planetary, and Individual Bonuses.
//
// The Sect of the Church on Holy Terra will have a Galaxy-wide bonus that is
// applied to all planets, structures, and units in the game.
//
// If the planet has a Church, then it will apply a Planetary Sect bonus
// to the planet.
//
// Each unit also has a Sect and they will receive a bonus from their
// individual Sect bonuses.
//
// + in front of a bonus description means it is additive
// * in front of a bonus description means it is that percentage increase
//
// Section G1 - Sect Galaxy Bonuses
//=============================================================================
//                                           SECT
//=============================================================================
//                           O     S     E     I     A     B     M     S     V 
//                           r     A     s     n     v     r     e     y     a 
//                           t     e     k     c     e     o     n     m     u 
//-----------------------------------------------------------------------------
{ "G1"                                                                        
"+City Healing Rate"        "10   10     0    10     0     0    10    20    20"
"+Unit Healing Rate"        "0    10     0    10     0     0    10    10    10"
"+Plague"                   "0   -10     0     0     0     0     0   -50   -25"
"*Production Rate"          "20    0     0    20     0     0     0     0    20"
"*Research Rate"            "0     0    20     0     0     0     0     0    20"
"*Technology Maintenance"   "0     0   -20     0     0     0   -20     0   -20"
"*Proscribed Maintenance"   "0     0     0     0    10     0     0     0   -20"  // Cumulative with above
"*Lab Maintenance"          "0     0   -20     0     0     0     0     0   -20"
"+Heretical"                "10    5   -10   -40    15    12     0  -150  -150"  // The difference here between Sect A and B is used to determine likelihood of changing Sects
}
//
// Section P1 - Sect Planetary Production Bonuses
//
// The Sect Planetary Production Bonuses harvest or produce the additional
// amount of that specific resource per turn. For example, if Ort(hodox)
// has a value of 1 in the Food row, then each Food harvesting structure
// will collect an additional 1% Food per turn.
//
//======================================================================
//                                    SECT
//======================================================================
//                    O     S     E     I     A     B     M     S     V 
//                    r     A     s     n     v     r     e     y     a 
//                    t     e     k     c     e     o     n     m     u 
//----------------------------------------------------------------------
{ "P1"                                                                 
"*Food"              " 0    50     0    50     0     0     0     0     0"
"*Energy"            "10     0    50     0     0     0     0     0     0"
"*Metal"             "10     0     0     0     0     0     0     0     0"
"*Trace"             "10     0     0     0     0     0     0     0     0"
"*Exotica"           " 0    25     0     0     0     0     0     0     0"
"*Chemicals"         " 0     0    50     0     0     0     0     0     0"
"*Biochems"          " 0     0     0     0     0     0     0     0     0"
"*Electronics"       " 0     0    50     0     0     0     0     0     0"
"*Ceramsteel"        " 0     0     0     0     0     0     0     0     0"
"*Wetware"           " 0     0     0     0     0     0     0     0     0"
"*Monopols"          " 0     0     0     0     0     0     0     0     0"
"*Gems"              "25     0     0     0     0     0     0     0     0"
"*Singularities"     " 0     0     0     0     0     0     0     0     0"
}
//
// Section P2 - Sect Planetary Structure and Research Bonuses
//
// The Sect Planetary Structure and Research Bonuses affect various
// structure abilities.
//=============================================================================
//                                           SECT
//=============================================================================
//                           O     S     E     I     A     B     M     S     V 
//                           r     A     s     n     v     r     e     y     a 
//                           t     e     k     c     e     o     n     m     u 
//-----------------------------------------------------------------------------
{ "P2"                                                                        
"+Loyalty"                 "10     0     0     0    10     0     0     0     0"
"+Healing Rate"            " 0    10     0     0     0    10    10    10     0"
"+Plague"                  " 0   -10     0     0     0     0     0   -50   -25"
"*Tax Rate"                "10     0     0     0     0     0    10     0     0"
"*Production Rate"         " 0     0     0     0    20    20     0    10     0"
"*Research Rate"           " 0     0    20     0     0     0     0     0    10"
"*Lab Maintenance"         " 0     0   -20     0     0     0     0     0   -10"
